City_1,CO,NO2,O3,SO2,PM2.5,PM10,overall_aqi
Denver,213.62,10.11,88.69,4.65,2.71,3.87,134
Provo,283.72,26.39,45.06,1.76,2.87,4.52,38
Hampton,433.92,24.33,65.8,2.59,18.9,21.3,71
Birmingham,270.37,9.0,47.92,3.07,1.54,3.02,40
Greeley,183.58,3.21,87.26,1.88,3.25,3.92,130
Spring Valley,293.73,22.96,47.92,5.36,4.88,6.84,40
Tustin,337.12,33.24,69.38,8.82,7.59,13.36,82
Springfield,293.73,7.28,78.68,1.94,17.98,18.61,109
Fort Wayne,520.71,43.87,7.78,0.91,17.98,20.33,55
Santa Ana,337.12,33.24,69.38,8.82,7.59,13.36,82
Dayton,453.95,39.76,39.7,4.95,13.45,15.89,49
Redondo Beach,267.03,15.94,98.71,3.93,5.39,8.47,159
Shawnee,220.3,4.63,76.53,1.24,5.38,6.03,103
Bethlehem,307.08,47.98,23.6,10.37,17.95,32.9,59
Pasadena,310.42,36.67,38.27,1.33,5.05,11.91,45
Somerville,440.6,35.99,26.46,1.15,17.85,23.13,54
Muncie,243.66,4.24,86.55,3.07,8.09,8.49,128
Sparks,183.58,1.16,73.67,0.13,0.5,2.36,95
Compton,267.03,15.94,98.71,3.93,5.39,8.47,159
Jurupa Valley,317.1,23.99,118.73,8.23,21.06,28.01,201
Buena Park,447.27,72.66,52.93,10.01,13.3,19.51,90
Tampa,267.03,7.71,34.69,0.62,1.99,2.19,29
Midland,216.96,1.74,62.94,0.13,4.85,10.11,62
Rialto,534.06,65.8,95.84,5.9,43.73,51.58,152
Pomona,380.52,41.13,53.64,2.86,18.54,24.93,56
Arlington,226.97,6.08,81.54,2.74,5.72,6.67,116
Portland,383.85,23.99,1.21,0.48,6.19,9.41,29
Kenosha,267.03,4.88,105.86,2.21,5.6,6.47,177
Racine,253.68,2.46,100.14,1.89,4.81,5.6,162
Garden Grove,337.12,33.24,69.38,8.82,7.59,13.36,82
Longview,196.93,3.38,49.35,1.19,2.73,3.77,41
Detroit,1068.12,79.51,0.0,1.76,23.54,31.49,99
Temple,208.62,2.64,79.39,0.43,4.27,4.82,110
Mountain View,236.99,6.86,65.09,1.43,6.42,16.45,69
Omaha,236.99,4.16,63.66,1.22,4.4,4.64,64
Athens-Clarke County unified government,240.33,5.27,41.13,2.35,18.27,20.12,55
Scottsdale,230.31,11.48,103.0,2.15,3.33,9.47,170
Scranton,277.04,7.11,30.04,0.13,6.76,7.5,25
Union City,263.69,12.51,62.94,2.65,6.82,16.86,62
New Britain,185.25,0.01,11.0,13.35,11.23,11.28,36
El Cajon,247.0,12.0,90.12,3.1,7.35,14.73,137
Kenner,196.93,4.11,63.66,1.18,2.77,3.01,64
Allen,247.0,11.65,70.1,2.41,5.04,6.54,84
East Los Angeles,310.42,36.67,38.27,1.33,5.05,11.91,45
Saint Louis,417.23,33.24,33.98,3.46,17.01,19.32,53
Pleasanton,290.39,28.79,49.35,4.23,4.46,9.68,41
Gulfport,183.58,1.84,67.23,0.48,1.59,1.65,75
Wilmington,447.27,33.93,2.24,0.38,13.3,17.67,43
Centreville,370.5,25.36,0.49,0.06,7.93,10.25,31
Kirkland,390.53,36.67,13.59,2.74,6.04,8.98,45
Escondido,360.49,25.71,47.92,0.98,12.83,21.31,41
Macon,290.39,4.93,27.54,1.27,12.79,14.0,41
Kennewick,273.71,9.17,31.83,0.2,1.08,2.31,26
Edinburg,260.35,9.08,52.21,4.41,2.66,6.47,44
Fishers,277.04,11.31,70.1,3.01,8.16,9.1,84
Brandon,253.68,2.74,61.51,0.83,31.68,39.31,82
Marysville,313.76,15.59,19.31,0.89,2.81,3.66,19
Schenectady,280.38,4.8,47.92,0.53,3.07,3.41,40
Columbus,333.79,20.22,33.62,0.92,8.53,10.48,28
Erie,277.04,4.8,90.12,3.79,6.91,7.89,137
Kendall,226.97,9.25,23.25,1.52,1.77,2.62,19
Albany,330.45,15.59,30.04,0.55,4.87,6.42,25
Saint Charles,447.27,34.62,18.77,1.13,16.06,17.86,51
Hartford,433.92,22.28,0.64,0.15,16.26,22.44,51
Waldorf,200.27,1.67,81.54,0.65,10.51,16.59,116
Apple Valley,400.54,37.01,29.68,2.44,5.64,7.85,46
Danbury,380.52,19.88,17.7,0.34,12.91,17.34,41
Jersey City,594.14,49.35,0.07,2.18,17.86,27.65,61
Metairie,201.94,4.97,63.66,0.82,2.58,2.76,64
Rio Rancho,163.56,0.5,72.96,0.08,5.77,28.44,93
Hemet,313.76,7.8,208.86,8.11,37.32,46.26,236
Cleveland,420.57,45.24,47.21,4.59,15.38,17.82,56
Thornton,196.93,5.01,94.41,5.31,2.68,3.47,148
Columbia,307.08,7.88,52.93,0.5,19.8,21.35,58
Enterprise,211.95,1.69,73.67,0.02,8.28,8.38,95
Ellicott City,460.63,36.67,2.53,0.86,12.43,21.76,45
Bk,1348.5,105.56,0.0,5.54,43.15,62.73,114
Houston,287.06,24.33,44.7,8.23,4.66,6.71,37
Oceanside,213.62,2.06,104.43,0.97,8.51,14.01,173
Orange,250.34,4.28,52.21,1.27,12.61,19.68,44
German,196.93,0.94,36.48,0.09,6.29,7.39,30
Pittsburg,403.88,34.62,22.35,2.35,9.86,11.56,43
Berkeley,230.31,4.88,68.67,1.03,4.44,10.12,80
New Bedford,347.14,15.94,15.02,0.13,9.95,14.0,32
Carlsbad,213.62,2.06,104.43,0.97,8.51,14.01,173
Alexandria,216.96,1.11,103.0,2.74,12.24,29.58,170
Overland Park,213.62,3.47,79.39,1.22,5.5,6.07,110
Melbourne,220.3,3.17,47.92,1.91,1.61,1.89,40
Sioux Falls,240.33,3.17,77.96,1.27,3.86,4.27,107
Huntsville,277.04,4.84,66.52,1.43,25.48,28.68,73
Turlock,230.31,8.65,74.39,2.24,1.23,2.12,98
Gainesville,193.6,1.56,80.82,1.22,2.11,2.25,114
Champaign,267.03,8.4,67.23,4.89,13.23,13.63,75
Inglewood,267.03,15.94,98.71,3.93,5.39,8.47,159
Saint Joseph,211.95,6.34,67.23,2.59,12.98,14.44,75
Brockton,380.52,24.33,32.9,0.7,11.52,16.35,37
Tulsa,203.61,3.38,86.55,1.0,3.52,3.84,128
North Las Vegas,180.24,0.43,108.72,0.07,3.02,17.88,184
Westminster,230.31,14.91,28.97,4.89,9.68,11.14,31
Lakewood,206.95,10.2,66.52,0.86,3.76,6.06,73
San Jose,267.03,15.42,59.37,2.83,6.66,16.18,51
Irvine,337.12,33.24,69.38,8.82,7.59,13.36,82
Bossier City,233.65,9.51,76.53,7.51,5.38,6.62,103
Columbus,333.79,20.22,33.62,0.92,8.53,10.48,28
Clearwater,220.3,0.8,39.34,0.31,0.98,2.05,33
Syracuse,427.25,13.37,27.18,56.74,89.75,105.03,164
Palm Bay,267.03,5.1,38.27,0.54,4.19,4.3,32
Vacaville,223.64,6.6,67.95,0.16,0.71,1.22,77
Glen Burnie,794.41,43.87,0.0,1.36,21.87,32.71,62
Broomfield,196.93,5.66,76.53,1.55,3.8,5.01,103
Pittsburgh,403.88,34.62,22.35,2.35,9.86,11.56,43
Memphis,317.1,15.59,98.71,4.47,21.45,22.6,159
Appleton,283.72,11.82,44.35,3.13,2.42,3.17,37
Green Bay,300.41,10.45,44.7,0.95,2.25,2.69,37
Upland,380.52,41.13,53.64,2.86,18.54,24.93,56
Virginia Beach,257.02,2.29,113.01,2.53,11.78,12.84,195
Springdale,186.92,1.95,80.11,1.12,4.8,6.07,112
Saint Paul,317.1,19.88,44.7,1.4,3.12,3.99,37
Nashua,273.71,5.66,52.93,0.27,9.43,10.51,44
Napa,211.95,3.04,68.67,0.2,0.77,1.36,80
Huntington Beach,337.12,33.24,69.38,8.82,7.59,13.36,82
Brentwood,240.33,9.6,78.68,2.98,1.41,2.16,109
Rochester,313.76,9.85,53.64,1.77,6.25,7.25,45
New Rochelle,1148.22,106.93,0.0,4.35,34.83,53.23,115
Spokane,280.38,13.54,30.76,0.24,0.79,1.08,26
Beaumont,283.72,15.77,55.08,4.65,8.12,9.82,46
Canton,247.0,3.73,75.82,8.11,8.32,9.33,102
Richmond,367.17,21.76,4.07,0.35,10.21,11.84,33
Charlotte,313.76,12.51,57.22,1.04,15.75,17.84,50
Santa Monica,216.96,5.4,100.14,0.9,3.27,4.96,162
Bloomington,236.99,3.47,75.82,2.09,7.99,8.65,102
Durham,333.79,13.02,22.35,0.35,14.97,17.65,48
Indio,243.66,3.0,158.79,1.85,16.73,22.18,216
Rock Hill,250.34,5.4,34.69,0.15,13.1,14.28,42
Newark,594.14,49.35,0.07,2.18,17.86,27.65,61
Ames,236.99,2.44,70.81,1.27,12.86,15.24,86
Santa Clara,267.03,15.42,59.37,2.83,6.66,16.18,51
New Orleans,201.94,4.97,63.66,0.82,2.58,2.76,64
Warwick,267.03,8.74,48.64,2.65,1.58,3.24,41
Spring Hill,263.69,6.51,65.09,1.42,6.96,7.16,69
Tallahassee,205.28,0.68,75.1,0.05,5.19,5.22,100
Lynchburg,250.34,10.88,7.96,0.33,6.77,7.82,21
Westminster,230.31,14.91,28.97,4.89,9.68,11.14,31
Paradise,206.95,4.28,110.15,0.57,3.63,19.81,187
Lynwood,267.03,15.94,98.71,3.93,5.39,8.47,159
Camarillo,220.3,5.66,86.55,0.14,2.33,3.99,128
Lake Forest,293.73,9.6,110.15,4.23,8.24,9.97,187
Naperville,567.44,85.0,16.99,12.76,16.62,22.5,102
Boise,216.96,2.46,59.37,0.07,0.5,1.11,51
Stockton,213.62,3.81,74.39,0.4,0.64,1.2,98
Lawrence,203.61,1.8,90.84,0.78,4.84,5.17,139
Peoria,280.38,7.11,67.23,1.16,8.91,9.12,75
O'Fallon,440.6,24.68,5.01,0.21,14.92,16.92,48
Mesa,230.31,11.48,103.0,2.15,3.33,9.47,170
Bryan,233.65,4.67,94.41,2.18,5.94,6.71,148
Garland,243.66,11.31,71.53,2.3,4.8,6.41,89
Springfield,293.73,7.28,78.68,1.94,17.98,18.61,109
Flint,307.08,7.63,38.62,0.37,3.72,4.99,32
Tacoma,300.41,23.31,21.82,2.21,3.19,4.85,29
Waterbury,313.76,13.2,19.85,0.23,9.94,12.07,32
Eagan,317.1,19.88,44.7,1.4,3.12,3.99,37
Fort Smith,196.93,2.29,79.39,2.0,4.98,6.08,110
Carmichael,253.68,2.87,22.17,1.48,2.53,5.93,18
Daly City,220.3,1.31,76.53,0.84,6.0,15.45,103
Murrieta,283.72,18.17,70.81,1.27,23.14,32.68,86
Quincy,440.6,35.99,26.46,1.15,17.85,23.13,54
Boulder,160.22,2.87,43.99,0.05,3.15,4.71,37
Evanston,280.38,10.37,103.0,7.15,7.47,9.52,170
Dothan,240.33,1.25,70.81,0.03,10.32,10.38,86
Antioch,453.95,36.67,16.09,0.54,19.21,21.76,57
Madison,377.18,24.68,33.26,0.21,7.25,8.83,30
Victorville,196.93,1.31,104.43,0.48,4.45,16.11,173
Billings,173.57,1.29,74.39,0.07,0.61,0.81,98
Sandy Springs,337.12,20.05,44.7,2.47,16.77,18.37,52
Iowa City,253.68,4.58,80.11,3.37,7.93,8.01,112
Largo,257.02,7.11,32.54,0.95,1.45,1.8,27
Shreveport,233.65,9.51,76.53,7.51,5.38,6.62,103
Kalamazoo,307.08,9.77,37.55,0.29,9.46,11.52,31
Round Rock,220.3,4.76,65.8,0.97,2.42,3.12,71
Columbia,307.08,7.88,52.93,0.5,19.8,21.35,58
Sandy,447.27,55.52,3.84,1.65,8.14,10.33,69
Hoover,257.02,5.18,68.67,0.97,11.37,12.95,80
Fullerton,447.27,72.66,52.93,10.01,13.3,19.51,90
Rapid City,203.61,3.04,57.94,0.47,4.14,4.64,49
Newport Beach,337.12,33.24,69.38,8.82,7.59,13.36,82
Palm Coast,210.29,0.92,77.96,0.29,2.01,2.71,107
Albany,330.45,15.59,30.04,0.55,4.87,6.42,25
Providence,310.42,9.94,53.64,0.42,12.92,14.61,45
Decatur,283.72,5.91,72.96,2.06,14.05,14.49,93
Anaheim,447.27,72.66,52.93,10.01,13.3,19.51,90
Rochester,313.76,9.85,53.64,1.77,6.25,7.25,45
Buffalo,350.48,15.42,43.27,1.68,4.54,5.84,36
Richmond,367.17,21.76,4.07,0.35,10.21,11.84,33
Sunnyvale,236.99,6.86,65.09,1.43,6.42,16.45,69
Milwaukee,270.37,5.74,82.25,1.25,3.98,4.79,118
Conroe,260.35,11.14,70.81,2.3,6.85,8.25,86
Savannah,273.71,6.17,44.35,1.06,23.06,24.17,65
Costa Mesa,337.12,33.24,69.38,8.82,7.59,13.36,82
New Haven,600.82,43.18,0.24,0.5,32.57,38.69,84
Westland,594.14,36.67,0.07,0.17,13.1,18.96,45
Cedar Rapids,250.34,4.46,80.82,2.8,7.29,7.38,114
Troy,330.45,15.59,30.04,0.55,4.87,6.42,25
Santa Barbara,190.26,0.52,95.84,0.16,1.6,2.58,152
Chino,380.52,41.13,53.64,2.86,18.54,24.93,56
Tucson,173.57,1.19,75.82,0.14,3.7,16.31,102
Joliet,467.3,51.41,19.31,6.86,10.78,14.98,64
Moreno Valley,323.77,19.88,154.5,9.18,28.97,36.99,215
Elizabeth,357.15,19.88,46.49,1.59,11.23,15.26,39
Wyoming,640.87,44.55,0.06,1.01,14.64,17.72,55
Norman,201.94,1.89,77.96,0.18,2.3,2.53,107
Frisco,240.33,10.2,73.67,2.44,5.29,6.39,95
Waterloo,240.33,2.96,72.96,0.51,3.14,3.24,93
Oakland,230.31,4.88,68.67,1.03,4.44,10.12,80
Jonesboro,267.03,2.74,87.26,0.38,12.32,13.19,130
Springfield,293.73,7.28,78.68,1.94,17.98,18.61,109
Mission,216.96,3.09,46.49,0.08,2.44,3.46,39
Lansing,360.49,17.99,21.82,0.4,5.77,6.99,22
Bay,247.0,3.26,55.08,0.33,30.3,39.14,79
Poinciana,260.35,3.56,59.37,0.54,6.32,6.52,51
